1:	S=["Lady", "Grizel", "Baillie", "(\"née\"", "Hume;", "25", "December", "1665", "–", "6", "December", "1746)", "was", "a", "Scottish", "songwriter."]
2810:	S=["Victoria", "Day", "(in", "French:", "\"Fête", "de", "la", "Reine\")", "is", "a", "federal", "Canadian public holiday", "celebrated", "on", "the", "last", "Monday", "before", "May", "25,", "in", "honour", "of", "Queen Victoria", "'s", "birthday.", "The", "date", "is", "also,", "simultaneously,", "that", "on", "which", "the", "current", "reigning", "Canadian sovereign", "'s", "official birthday", "is", "recognized.", "It", "is", "sometimes", "informally", "considered", "as", "marking", "the", "beginning", "of", "the", "summer", "season", "in", "Canada", "."]
	M=[[11, "Public holidays in Canada"], [23, "Queen Victoria"], [37, "Monarchy of Canada"], [39, "Queen's Official Birthday"], [56, "Canada"]]
2811:	S=["The", "naval", "Battle", "of", "Texel", "or", "Battle", "of", "Kijkduin", "took", "place", "on", "21", "August", "1673", "(11", "August", "O.S.", ")", "between", "the", "Dutch", "and", "the", "combined", "English", "and", "French", "fleets", "and", "was", "the", "last", "major", "battle", "of", "the", "Third Anglo-Dutch War", ",", "which", "was", "itself", "part", "of", "the", "Franco-Dutch War", "(1672-1678),", "during", "which", "Louis XIV of France", "invaded", "the", "Republic", "and", "sought", "to", "establish", "control", "over", "the", "Spanish Netherlands", ".", "English", "involvement", "came", "about", "because", "of", "the", "Treaty of Dover", ",", "secretly", "concluded", "by", "Charles II of England", ",", "and", "which", "was", "highly", "unpopular", "with", "the", "English", "Parliament."]
	M=[[4, "Texel"], [8, "Kijkduin"], [17, "Old Style"], [21, "Netherlands"], [25, "England"], [27, "France"], [37, "Third Anglo-Dutch War"], [45, "Franco-Dutch War"], [49, "Louis XIV of France"], [60, "Spanish Netherlands"], [69, "Treaty of Dover"], [74, "Charles II of England"]]
2812:	S=["Brothers", "in", "Arms", "is", "the", "fifth", "studio", "album", "by", "the", "British", "rock", "band", "Dire Straits", ",", "released", "on", "13", "May", "1985", "by", "Vertigo Records", "internationally,", "and", "by", "Warner Bros. Records", "in", "the", "United", "States.", "\"Brothers", "in", "Arms\"", "charted", "at", "number", "one", "worldwide,", "spending", "10", "weeks", "at", "number", "one", "on", "the", "UK Album Chart", "(between", "18", "January", "and", "22", "March", "1986),", "nine", "weeks", "at", "number", "one", "on", "the", "\"Billboard\" 200", "in", "the", "United", "States,", "and", "34", "weeks", "at", "number", "one", "on", "the", "Australian Album Chart", ".", "The", "album", "is", "the", "eighth-best-selling album", "in", "UK", "chart", "history,", "is", "certified", "nine-times platinum", "in", "the", "United", "States,", "and", "is", "one", "of", "the", "world's best-selling albums", ",", "having", "sold", "over", "30", "million", "copies", "worldwide."]
	M=[[13, "Dire Straits"], [21, "Vertigo Records"], [25, "Warner Bros. Records"], [46, "UK Album Chart"], [61, "Billboard 200"], [74, "ARIA Charts"], [80, "List of best-selling albums in the United Kingdom"], [87, "RIAA certification"], [97, "List of best-selling albums"]]
2813:	S=["Making", "Movies", "is", "the", "third", "studio", "album", "by", "British", "rock", "band", "Dire Straits", ",", "released", "on", "17", "October", "1980", "by", "Vertigo Records", "internationally,", "and", "by", "Warner Bros. Records", "in", "the", "United", "States.", "The", "album", "produced", "the", "single", "\"", "Romeo and Juliet", "\",", "which", "reached", "the", "number", "8", "position", "on", "the", "UK Singles Chart", ".", "The", "album", "reached", "the", "number", "one", "position", "on", "album", "charts", "in", "Italy", "and", "Norway,", "the", "number", "19", "position", "in", "the", "United", "States,", "and", "the", "number", "four", "position", "in", "the", "United", "Kingdom.", "\"Making", "Movies\"", "was", "certified", "platinum", "in", "the", "United", "States,", "and", "double-platinum", "in", "the", "United", "Kingdom."]
	M=[[11, "Dire Straits"], [19, "Vertigo Records"], [23, "Warner Bros. Records"], [34, "Romeo and Juliet (Dire Straits song)"], [44, "UK Singles Chart"]]
2814:	S=["On", "Every", "Street", "is", "the", "sixth", "and", "final", "studio", "album", "by", "British", "rock", "band", "Dire Straits", ",", "released", "on", "10", "September", "1991", "by", "Vertigo Records", "internationally,", "and", "by", "Warner Bros. Records", "in", "the", "United", "States.", "The", "follow-up", "to", "the", "band's", "massively", "successful", "album", "\"", "Brothers in Arms", "\",", "\"On", "Every", "Street\"", "reached", "the", "top", "of", "the", "UK", "albums", "chart", "and", "was", "also", "certified", "platinum", "by", "the", "RIAA."]
	M=[[14, "Dire Straits"], [22, "Vertigo Records"], [26, "Warner Bros. Records"], [40, "Brothers in Arms (Dire Straits album)"]]
2815:	S=["Christopher", "Eric", "Hitchens", "(13", "April", "1949", "–", "15", "December", "2011)", "was", "an", "Anglo-American", "author,", "essayist,", "orator,", "religious", "and", "literary", "critic,", "and", "journalist.", "Hitchens", "spent", "much", "of", "his", "career", "in", "the", "United States", ",", "becoming", "a", "US citizen", "in", "2007."]
	M=[[12, "English Americans"], [30, "United States"], [34, "Citizenship in the United States"]]
2816:	S=["José", "Eloy", "Alfaro", "Delgado", "(June", "25,", "1842", "–", "January", "28,", "1912)", "served", "as", "President", "of", "Ecuador", "from", "1895", "to", "1901", "and", "from", "1906", "to", "1911.", "He", "became", "one", "of", "the", "strongest", "opponents", "of", "pro-Catholic", "conservative", "President", "Gabriel Garcia Moreno", "(1821–1875).", "For", "his", "central", "role", "in", "the", "Liberal Revolution of 1895", "and", "for", "having", "fought", "conservatism", "for", "almost", "30", "years,", "he", "is", "known", "as", "the", "\"Viejo", "Luchador\"", "(\"Old", "Warrior\")."]
	M=[[15, "Ecuador"], [36, "Gabriel Garcia Moreno"], [44, "Liberal Revolution of 1895"]]
2817:	S=["The", "Women's", "PGA", "Championship", "is", "the", "second-longest", "running", "tournament", "in", "the", "history", "of", "the", "Ladies Professional Golf Association", "surpassed", "only", "by", "the", "U.S. Women's Open", ".", "Founded", "in", "1955", ",", "it", "is", "one", "of", "five", "majors", "on", "the", "LPGA Tour", ".", "It", "is", "not", "recognized", "as", "a", "major", "by", "the", "Ladies European Tour", ",", "which", "does", "not", "recognize", "any", "of", "the", "three", "majors", "played", "in", "the", "United States", "."]
	M=[[14, "Ladies Professional Golf Association"], [19, "U.S. Women's Open"], [23, "1955 LPGA Championship"], [30, "Women's major golf championships"], [33, "LPGA Tour"], [44, "Ladies European Tour"], [58, "United States"]]
2818:	S=["Troisdorf", "()", "is", "a", "town", "in", "the", "Rhein-Sieg-Kreis", "(district),", "in", "North Rhine-Westphalia", ",", "Germany", "."]
	M=[[7, "Rhein-Sieg-Kreis"], [10, "North Rhine-Westphalia"], [12, "Germany"]]
2819:	S=["François", "Séverin", "Marceau-Desgraviers", "(;", "1", "March", "1769", "–", "21", "September", "1796)", "was", "a", "French", "general", "of", "the", "Revolutionary Wars", "."]
	M=[[17, "French Revolutionary Wars"]]
2820:	S=["Barry", "Gray", "(born", "John", "Livesey", "Eccles;", "18", "July", "1908", "–", "26", "April", "1984)", "was", "a", "British", "musician", "and", "composer", "best", "known", "for", "his", "collaborations", "with", "television", "and", "film", "producer", "Gerry Anderson", "."]
	M=[[29, "Gerry Anderson"]]
2821:	S=["Robert", "Francis", "Vaughn", "(born", "November", "22,", "1932)", "is", "an", "American", "actor", "noted", "for", "his", "stage,", "film", "and", "television", "work.", "His", "best-known", "TV", "roles", "include", "suave", "spy", "Napoleon Solo", "in", "the", "1960s", "series", "\"", "The Man from U.N.C.L.E.", "\";", "wealthy", "detective", "Harry", "Rule", "in", "the", "1970s", "series", "\"", "The Protectors", "\";", "and", "formidable", "General", "Hunt Stockwell", "in", "the", "5th", "season", "of", "the", "1980s", "series", "\"", "The A-Team", "\".", "In", "film,", "he", "portrayed", "quiet,", "skittish", "gunman", "Lee", "in", "\"", "The Magnificent Seven", "\",", "Major", "Paul", "Krueger", "in", "\"", "The Bridge at Remagen", "\",", "the", "voice", "of", "Proteus", "IV,", "the", "computer", "villain", "of", "\"", "Demon Seed", "\",", "Walter", "Chalmers", "in", "\"", "Bullitt", "\",", "Ross", "Webster", "in", "\"", "Superman III", "\",", "and", "war", "veteran", "Chester", "A.", "Gwynn", "in", "\"", "The Young Philadelphians", "\"", "which", "earned", "him", "a", "1960", "Academy Award", "nomination", "for", "Academy Award for Best Supporting Actor", "."]
	M=[[26, "Napoleon Solo"], [32, "The Man from U.N.C.L.E."], [43, "The Protectors"], [48, "Hunt Stockwell"], [58, "The A-Team"], [70, "The Magnificent Seven"], [77, "The Bridge at Remagen"], [89, "Demon Seed"], [95, "Bullitt"], [101, "Superman III"], [111, "The Young Philadelphians"], [118, "Academy Award"], [121, "Academy Award for Best Supporting Actor"]]
2822:	S=["John", "Julius", "Angerstein", "(1732", "–", "22", "January", "1823)", "a", "London", "businessman", "and", "Lloyd's", "under-writer,", "was", "a", "patron", "of", "the", "fine", "arts", "and", "a", "collector.", "It", "was", "the", "prospect", "that", "his", "collection", "of", "paintings", "was", "about", "to", "be", "sold", "by", "his", "estate", "in", "1824", "that", "galvanised", "the", "founding", "of", "the", "British", "National Gallery", "."]
	M=[[12, "Lloyd's of London"], [50, "National Gallery, London"]]
2823:	S=["John", "Field", "(26", "July", "1782", "[?],", "baptised", "5", "September", "178223", "January", "1837)", "was", "an", "Irish", "pianist,", "composer,", "and", "teacher.", "He", "was", "born", "in", "Dublin", "into", "a", "musical", "family,", "and", "received", "his", "early", "education", "there,", "in", "particular", "with", "the", "immigrant", "Tommaso Giordani", ".", "The", "Fields", "soon", "moved", "to", "London,", "where", "Field", "studied", "under", "Muzio Clementi", ".", "Under", "his", "tutelage,", "Field", "quickly", "became", "a", "famous", "and", "sought-after", "concert", "pianist;", "together,", "master", "and", "pupil", "visited", "Paris,", "Vienna", ",", "and", "St. Petersburg", ".", "Ambiguity", "surrounds", "Field's", "decision", "to", "remain", "in", "the", "Russian", "capital,", "but", "it", "is", "likely", "that", "Field", "acted", "as", "a", "sales", "representative", "for", "the", "Clementi", "Pianos."]
	M=[[6, "Baptism"], [39, "Tommaso Giordani"], [51, "Muzio Clementi"], [71, "Vienna"], [74, "Saint Petersburg"]]
2824:	S=["Jessie", "Matthews,", "OBE", "(11", "March", "1907", "–", "19", "August", "1981)", "was", "an", "English", "actress,", "dancer", "and", "singer", "of", "the", "1920s", "and", "1930s,", "whose", "career", "continued", "into", "the", "post-war", "period."]
	M=[[2, "Order of the British Empire"]]
2825:	S=["John", "Arthur", "Roebuck", "(28", "December", "1802", "–", "30", "November", "1879),", "British", "politician,", "was", "born", "at", "Madras", ",", "in", "India", ".", "He", "was", "raised", "in", "Canada,", "and", "moved", "to", "England", "in", "1824,", "and", "became", "intimate", "with", "the", "leading", "radical", "and", "utilitarian", "reformers.", "He", "was", "Member", "of", "Parliament", "(M.P.)", "for", "Bath", "from", "1832", "to", "1847,", "and", "M.P.", "for", "Sheffield constituency", "from", "1849.", "He", "took", "up", "that", "general", "attitude", "of", "hostility", "to", "the", "government", "of", "the", "day,", "be", "it", "what", "it", "might,", "which", "he", "retained", "throughout", "his", "life.", "He", "twice", "came", "with", "especial", "prominence", "before", "the", "public—in", "1838,", "when,", "although", "at", "the", "time", "without", "a", "seat", "in", "parliament,", "he", "appeared", "at", "the", "bar", "of", "the", "Commons", "to", "protest,", "in", "the", "name", "of", "the", "Canadian", "Assembly,", "against", "the", "suspension", "of", "the", "Canadian", "constitution;", "and", "in", "1855,", "when,", "having", "overthrown", "Lord Aberdeen", "'s", "ministry", "by", "carrying", "a", "resolution", "for", "the", "appointment", "of", "a", "committee", "of", "inquiry", "into", "the", "mismanagement", "in", "the", "Crimean War", ",", "he", "presided", "over", "its", "proceedings."]
	M=[[15, "Chennai"], [18, "India"], [37, "Radicals (UK)"], [48, "Bath (UK Parliament constituency)"], [56, "Sheffield (UK Parliament constituency)"], [111, "British House of Commons"], [134, "George Hamilton-Gordon, 4th Earl of Aberdeen"], [154, "Crimean War"]]
2826:	S=["The", "Royal", "Scots", "Greys", "was", "a", "cavalry regiment", "of", "the", "British Army", "from", "1707", "until", "1971,", "when", "they", "amalgamated", "with", "the", "3rd Carabiniers (Prince of Wales's Dragoon Guards)", "to", "form", "The Royal Scots Dragoon Guards (Carabiniers and Greys)", "."]
	M=[[6, "Cavalry regiments of the British Army"], [9, "British Army"], [19, "3rd Carabiniers (Prince of Wales's Dragoon Guards)"], [22, "Royal Scots Dragoon Guards"]]
2827:	S=["The", "Hebrew", "University", "of", "Jerusalem", "(,", "\"ha-Universita", "ha-Ivrit", "B'irushalayim\";", ",", "\"al-Ǧāmiʻah", "al-ʻIbriyyah", "fil-Quds\";", "abbreviated", "HUJI)", "is", "Israel", "'s", "second", "oldest", "university", "established", "in", "1918,", "30", "years", "before", "the", "State of Israel", ".", "The", "Hebrew", "University", "has", "three", "campuses", "in", "Jerusalem", "and", "one", "in", "Rehovot", ".", "The", "world's", "largest", "Jewish studies", "library", "is", "located", "on", "its", "Edmond", "J.", "Safra", "Givat Ram", "campus"]
	M=[[16, "Israel"], [28, "State of Israel"], [37, "Jerusalem"], [41, "Rehovot"], [46, "Jewish studies"], [55, "Givat Ram"]]
2828:	S=["Sailing/Yachting", "is", "an", "Olympic sport", "starting", "from", "the", "Games", "of", "the", "first", "Olympiad", "(1896 Olympics)", "in", "Athens", ".", "With", "the", "exception", "of", "1904", "and", "possible", "1916", "sailing", "was", "always", "a", "part", "of", "the", "Olympic", "program."]
	M=[[0, "Sailing"], [3, "Olympic sport"], [11, "Olympiad"], [12, "Sailing at the 1896 Summer Olympics"], [14, "Athens"], [20, "1904 Summer Olympics"], [23, "1916 Summer Olympics"]]
2829:	S=["Ranong", "()", "is", "one", "of", "Thailand's", "southern", "provinces", "(\"changwat\"),", "on", "the", "west", "coast", "along", "the", "Andaman Sea", ".", "It", "has", "the", "fewest", "inhabitants", "of", "all", "Thai", "provinces.", "Neighboring", "Ranong", "are", "(clockwise)", "Chumphon", ",", "Surat Thani", "and", "Phang Nga", ".", "To", "the", "west,", "it", "borders", "Kawthaung", ",", "Tanintharyi", ",", "Myanmar", "."]
	M=[[7, "Provinces of Thailand"], [15, "Andaman Sea"], [30, "Chumphon Province"], [32, "Surat Thani Province"], [34, "Phang Nga Province"], [41, "Kawthaung"], [43, "Tanintharyi Region"], [45, "Burma"]]
2830:	S=["At", "the", "1900 Summer Olympics", ",", "9", "shooting", "events", "were", "included.", "Many", "other", "shooting", "events", "were", "featured", "in", "Paris", "at", "about", "the", "same", "time,", "but", "only", "9", "events", "are", "considered", "Olympic", "by", "the", "International Olympic Committee", ".", "The", "competitions", "were", "held", "from", "August", "3,", "1900,", "to", "August", "5,", "1900."]
	M=[[2, "1900 Summer Olympics"], [5, "Shooting sports"], [16, "Paris"], [31, "International Olympic Committee"]]
2831:	S=["Piccadilly", "()", "is", "a", "road", "in", "the", "City of Westminster", ",", "London", "to", "the", "south", "of", "Mayfair", ",", "between", "Hyde Park Corner", "in", "the", "west", "and", "Piccadilly Circus", "in", "the", "east.", "It", "is", "part", "of", "the", "A4 road", "that", "connects", "central", "London", "to", "Hammersmith", ",", "Earl's Court", ",", "Heathrow Airport", "and", "the", "M4 motorway", "westward.", "St James's", "is", "to", "the", "south", "of", "the", "eastern", "section,", "while", "the", "western", "section", "is", "built", "up", "only", "on", "the", "northern", "side.", "At", "just", "under", "in", "length,", "Piccadilly", "is", "one", "of", "the", "widest", "and", "straightest", "streets", "in", "central", "London."]
	M=[[7, "City of Westminster"], [14, "Mayfair"], [17, "Hyde Park Corner"], [22, "Piccadilly Circus"], [31, "A4 road (England)"], [37, "Hammersmith"], [39, "Earl's Court"], [41, "Heathrow Airport"], [44, "M4 motorway"], [46, "St James's"]]
2832:	S=["This", "is", "a", "listing", "in", "alphabetical", "order", "of", "the", "current", "municipalities", "in", "Finland", "as", "of", "2013.", "For", "population", "see", "List of Finnish municipalities by population", ".", "Notice", "that", "if", "the", "place", "has", "both", "a", "Finnish", "and", "a", "Swedish", "name,", "the", "majority", "language", "is", "preferred."]
	M=[[10, "Municipalities of Finland"], [12, "Finland"], [19, "List of Finnish municipalities by population"]]
2833:	S=["Regent", "Street", "is", "one", "of", "the", "major", "shopping", "streets", "in", "the", "West End of London", ",", "well", "known", "to", "tourists", "and", "locals", "alike", "and", "famous", "for", "its", "Christmas", "illuminations.", "It", "is", "named", "after", "the", "Prince Regent", "(later", "George", "IV)", "and", "is", "commonly", "associated", "with", "the", "architect", "John Nash", ",", "whose", "street", "layout", "survives,", "although", "all", "of", "his", "original", "buildings", "except", "All Souls Church", "have", "since", "been", "replaced."]
	M=[[11, "West End of London"], [31, "George IV of the United Kingdom"], [42, "John Nash (architect)"], [55, "All Souls Church, Langham Place"]]
2834:	S=["Oxford", "Circus", "is", "the", "busy", "intersection", "of", "Oxford Street", "(", "A40", ")", "and", "Regent Street", "in", "the", "West End", "of", "London", ".", "It", "is", "served", "by", "many", "bus", "routes", "and", "by", "Oxford Circus tube station", ",", "which", "is", "directly", "beneath", "the", "junction", "itself."]
	M=[[7, "Oxford Street"], [9, "A40 road"], [12, "Regent Street"], [15, "West End of London"], [17, "London"], [28, "Oxford Circus tube station"]]
2835:	S=["Oxford", "Street", "is", "a", "major", "road", "in", "the", "City of Westminster", "in", "the", "West End of London", ".", "It", "is", "Europe's", "busiest", "shopping", "street,", "with", "around", "half", "a", "million", "daily", "visitors,", "and", "as", "of", "2012", "had", "approximately", "300", "shops.", "It", "is", "designated", "as", "part", "of", "the", "A40", ",", "a", "major", "road", "between", "London", "and", "Fishguard", ",", "though", "it", "is", "not", "signed", "as", "such,", "and", "traffic", "is", "regularly", "restricted", "to", "buses", "and", "taxis."]
	M=[[8, "City of Westminster"], [11, "West End of London"], [41, "A40 road"], [47, "London"], [49, "Fishguard"]]
2836:	S=["His", "works", "of", "fiction", "and", "non-fiction", "have", "garnered", "critical", "acclaim", "and", "numerous", "awards,", "both", "in", "Japan", "and", "internationally,", "including", "the", "World Fantasy Award", "(2006)", "and", "the", "Frank O'Connor International Short Story Award", "(2006),", "while", "his", "oeuvre", "received", "among", "others", "the", "Franz Kafka Prize", "(2006)", "and", "the", "Jerusalem Prize", "(2009).", "Murakami's", "most", "notable", "works", "include", "\"", "A Wild Sheep Chase", "\"", "(1982),", "\"", "Norwegian Wood", "\"", "(1987),", "\"", "The Wind-Up Bird Chronicle", "\"", "(1994-1995),", "\"", "Kafka on the Shore", "\"", "(2002),", "and", "\"", "1Q84", "\"", "(2009–2010).", "He", "has", "also", "translated", "a", "number", "of", "English", "works", "into", "Japanese,", "from", "Raymond Carver", "to", "J. D. Salinger", "."]
	M=[[20, "World Fantasy Award"], [24, "Frank O'Connor International Short Story Award"], [33, "Franz Kafka Prize"], [37, "Jerusalem Prize"], [45, "A Wild Sheep Chase"], [49, "Norwegian Wood (novel)"], [53, "The Wind-Up Bird Chronicle"], [57, "Kafka on the Shore"], [62, "1Q84"], [77, "Raymond Carver"], [79, "J. D. Salinger"]]
2837:	S=["Enzkreis", "is", "a", "district", "(\"Kreis\")", "in", "the", "north-west", "of", "Baden-Württemberg", ",", "Germany", ".", "Neighboring", "districts", "are", "(from", "west", "clockwise)", "Karlsruhe", ",", "Heilbronn", ","]
	M=[[9, "Baden-Württemberg"], [11, "Germany"], [19, "Karlsruhe (district)"], [21, "Heilbronn (district)"]]
2838:	S=["Sir", "Alexander", "Mackenzie", "(or", "MacKenzie,", ",", "1764", "–", "12", "March", "1820)", "was", "a", "Scottish", "explorer", ".", "He", "is", "known", "for", "his", "overland", "crossing", "of", "what", "is", "now", "Canada", "to", "reach", "the", "Pacific", "Ocean", "in", "1793.", "This", "was", "the", "first", "east", "to", "west", "crossing", "of", "North", "America", "north", "of", "Mexico", "and", "preceded", "the", "Lewis and Clark expedition", "by", "10", "years."]
	M=[[13, "Scottish people"], [14, "List of explorers"], [52, "Lewis and Clark expedition"]]
2839:	S=["Nemesis", "is", "a", "tragedy", "in", "four", "acts", "written", "by", "Alfred Nobel", ",", "who", "founded", "the", "Nobel Prize", "s."]
	M=[[9, "Alfred Nobel"], [14, "Nobel Prize"]]
2840:	S=["Kempley", "is", "a", "village", "in", "the", "Forest of Dean district", "of", "Gloucestershire", ",", "England,", "close", "to", "the", "border", "with", "Herefordshire", ".", "It", "lies", "17", "miles", "northwest", "of", "Gloucester", "and", "17", "miles", "southeast", "of", "Hereford.", "The", "nearest", "market", "towns", "of", "Newent", "and", "Ledbury", "are", "5", "and", "8", "miles", "respectively."]
	M=[[6, "Forest of Dean (district)"], [8, "Gloucestershire"], [16, "Herefordshire"], [24, "Gloucester"], [36, "Newent"], [38, "Ledbury"]]
2841:	S=["Lieutenant-General", "Sir", "Thomas", "Picton", "(24", "August", "175818", "June", "1815)", "was", "a", "Welsh", "British Army", "officer", "who", "fought", "in", "a", "number", "of", "campaigns", "for", "Britain", "in", "the", "Napoleonic Wars", ".", "According", "to", "the", "historian", "Alessandro Barbero", ",", "Picton", "was", "\"respected", "for", "his", "courage", "and", "feared", "for", "his", "irascible", "temperament.\"", "The", "Duke of Wellington", "called", "him", "\"a", "rough", "foul-mouthed", "devil", "as", "ever", "lived\",", "but", "very", "capable."]
	M=[[0, "Lieutenant-general (United Kingdom)"], [11, "Welsh people"], [12, "British Army"], [25, "Napoleonic Wars"], [31, "Alessandro Barbero"], [46, "Arthur Wellesley, 1st Duke of Wellington"]]
2842:	S=["Lyndon", "Hermyle", "LaRouche,", "Jr.", "(born", "September", "8,", "1922)", "is", "an", "American", "political", "activist", "and", "founder", "of", "the", "LaRouche movement", ".", "He", "has", "written", "on", "economic,", "scientific,", "and", "political", "topics,", "as", "well", "as", "on", "history,", "philosophy,", "and", "psychoanalysis.", "LaRouche", "was", "a", "presidential", "candidate", "in", "each", "election", "from", "1976", "to", "2004,", "running", "once", "for", "his", "own", "U.S. Labor Party", "and", "seven", "times", "for", "the", "Democratic Party", "nomination."]
	M=[[17, "LaRouche movement"], [53, "U.S. Labor Party"], [59, "Democratic Party (United States)"]]
2843:	S=["Northern", "Dobruja", "(;", ",", "\"Severna", "Dobrudzha\")", "is", "the", "part", "of", "Dobruja", "within", "the", "borders", "of", "Romania", ".", "It", "lies", "between", "the", "lower", "Danube", "river", "and", "the", "Black Sea", ",", "bordered", "in", "the", "south", "by", "Southern Dobruja", ",", "which", "is", "part", "of", "Bulgaria", "."]
	M=[[10, "Dobruja"], [15, "Romania"], [22, "Danube"], [26, "Black Sea"], [33, "Southern Dobruja"], [39, "Bulgaria"]]
2844:	S=["Tartary", "(", "Latin", ":", "\"Tartaria\")", "or", "Great", "Tartary", "(", "Latin", ":", "\"Tartaria", "Magna\")", "was", "a", "name", "used", "from", "the", "Middle Ages", "until", "the", "twentieth", "century", "to", "designate", "the", "great", "tract", "of", "northern", "and", "central", "Asia", "stretching", "from", "the", "Caspian Sea", "and", "the", "Ural Mountains", "to", "the", "Pacific Ocean", ",", "inhabited", "mostly", "by", "Turkic", "peoples", "after", "the", "Mongol-Turkic invasion", ".", "It", "incorporated", "the", "current", "areas", "of", "Pontic-Caspian steppe", ",", "Volga-Urals", ",", "Caucasus", ",", "Siberia", ",", "Turkestan", ",", "Mongolia", ",", "and", "Manchuria", "."]
	M=[[2, "Latin"], [9, "Latin"], [19, "Middle Ages"], [33, "Asia"], [37, "Caspian Sea"], [40, "Ural Mountains"], [43, "Pacific Ocean"], [52, "Mongol invasion of Central Asia"], [60, "Pontic-Caspian steppe"], [62, "Idel-Ural"], [64, "Caucasus"], [66, "Siberia"], [68, "Turkestan"], [70, "Mongolia"], [73, "Manchuria"]]
2845:	S=["William", "A.", "\"Bill\"", "Allain", "(February", "14,", "1928", "–", "December", "2,", "2013)", "was", "an", "American", "politician", "who", "held", "office", "as", "the", "58th Governor", "of", "Mississippi", "as", "a", "Democrat", "from", "1984", "to", "1988."]
	M=[[20, "List of Governors of Mississippi"], [22, "Mississippi"], [25, "United States Democratic Party"]]
2846:	S=["Landkreis", "Heilbronn", "()", "is", "a", "district", "(\"Kreis\")", "in", "the", "north", "of", "Baden-Württemberg", ",", "Germany", ".", "Neighboring", "districts", "are", "(from", "north", "clockwise)", "Neckar-Odenwald", ",", "Hohenlohe", ",", "Schwäbisch Hall", ",", "Rems-Murr", ",", "Ludwigsburg", ",", "Enz", ",", "Karlsruhe", "and", "Rhein-Neckar", ".", "In", "the", "centre", "of", "it", "is", "the", "free-city", "of", "Heilbronn", ",", "which", "is", "its", "own", "separate", "administrative", "area."]
	M=[[11, "Baden-Württemberg"], [13, "Germany"], [21, "Neckar-Odenwald"], [23, "Hohenlohe (district)"], [25, "Schwäbisch Hall (district)"], [27, "Rems-Murr"], [29, "Ludwigsburg (district)"], [31, "Enz (district)"], [33, "Karlsruhe (district)"], [35, "Rhein-Neckar"], [46, "Heilbronn"]]
2847:	S=["The", "Battle", "of", "Piedmont", "was", "fought", "June", "5,", "1864,", "in", "the", "village", "of", "Piedmont", ",", "Augusta County, Virginia", ".", "Union", "Maj. Gen.", "David Hunter", "engaged", "Confederates", "under", "Brig. Gen.", "William E. \"Grumble\" Jones", "north", "of", "Piedmont.", "After", "severe", "fighting,", "Jones", "was", "killed", "and", "the", "Confederates", "were", "routed.", "Hunter", "occupied", "Staunton", "on", "June", "6", "and", "soon", "began", "to", "advance", "on", "Lynchburg", ",", "destroying", "military", "stores", "and", "public", "property", "in", "his", "wake."]
	M=[[13, "Piedmont, Augusta County, Virginia"], [15, "Augusta County, Virginia"], [17, "Union Army"], [18, "Major general (United States)"], [19, "David Hunter"], [21, "Confederate States Army"], [23, "Brigadier General (CSA)"], [24, "William E. Jones"], [41, "Staunton, Virginia"], [51, "Lynchburg, Virginia"]]
2848:	S=["Emperor", "Ōgimachi", "(正親町天皇", "\"Ōgimachi-tennō\")", "(June", "18,", "1517", "–", "February", "6,", "1593)", "was", "the", "106th", "Emperor of Japan", ",", "according", "to", "the", "traditional", "order", "of", "succession.", "He", "reigned", "from", "October", "27,", "1557", "to", "December", "17,", "1586,", "corresponding", "to", "the", "transition", "between", "the", "Warring States Era", "and", "the", "Azuchi-Momoyama period", ".", "His", "personal", "name", "was", "Michihito", "(方仁)."]
	M=[[14, "Emperor of Japan"], [39, "Sengoku Period"], [42, "Azuchi-Momoyama period"]]
2849:	S=["Emperor", "Hanazono", "(花園天皇", "\"Hanazono-tennō\")", "(August", "14,", "1297", "–", "December", "2,", "1348)", "was", "the", "95th", "emperor", "of", "Japan", ",", "according", "to", "the", "traditional", "order", "of", "succession.", "His", "reign", "spanned", "the", "years", "from", "1308", "through", "1318."]
	M=[[14, "Emperor of Japan"], [16, "Japan"]]
2850:	S=["The", "Gulf", "of", "Tonkin", "(,", ")", "is", "a", "body", "of", "water", "located", "off", "the", "coast", "of", "northern", "Vietnam", "and", "southern", "China", ".", "It", "is", "a", "northern", "arm", "of", "the", "South China Sea", ".", "The", "Gulf", "is", "defined", "in", "the", "west", "by", "the", "northern", "coastline", "of", "Vietnam,", "in", "the", "north", "by", "China's", "Guangxi province", ",", "and", "to", "the", "east", "by", "China's", "Leizhou Peninsula", "and", "Hainan Island", "."]
	M=[[17, "Vietnam"], [20, "China"], [29, "South China Sea"], [49, "Guangxi province"], [57, "Leizhou Peninsula"], [59, "Hainan Island"]]
2851:	S=["Emperor", "Takakura", "(高倉天皇", "\"Takakura-tennō\")", "(September", "20,", "1161", "–", "January", "30,", "1181)", "was", "the", "80th", "emperor", "of", "Japan", ",", "according", "to", "the", "traditional", "order", "of", "succession.", "His", "reign", "spanned", "the", "years", "from", "1168", "through", "1180."]
	M=[[14, "Emperor of Japan"], [16, "Japan"]]
